#{"t_start": 1780697294.9244785, "env_id": "None"}
r,l,t
0.925,7,6.992155
0.64,35,7.050488
0.95,7,7.050488
0.88,12,7.076362
0.8875,10,7.087749
0.9375,6,7.100229
0.9075,10,7.120333
-0.06,7,7.135523
0.975,3,7.139533
-0.27,28,7.184686
-0.165,15,7.207421
-0.0775,10,7.22262
0.9575,7,7.227605
0.98,3,7.239343
0.98,2,7.242246
-0.005,1,7.244307
0.925,6,7.25788
0.995,1,7.26088
0.8525,14,7.287889
-0.0275,2,7.29786
0.8225,16,7.356671
0.95,7,7.385738
0.975,4,7.398653
-0.0375,5,7.410548
0.99,1,7.416065
-0.1025,11,7.450784
0.785,24,7.494668
0.855,12,7.523304
0.905,11,7.544288
0.9075,10,7.578572
0.91,10,7.607764
-0.185,22,7.723433
0.985,2,7.735855
-0.125,11,7.789859
0.945,5,7.80989
-0.03,3,7.819589
0.955,6,7.831651
0.9975,1,7.835654
-0.0675,6,7.850479
-0.19,18,7.874368
0.89,13,7.887498
-0.0175,1,7.892538
-0.0125,3,7.89611
-0.11,9,7.909767
0.995,1,7.909767
0.9225,9,7.931294
0.96,2,7.934537
0.99,2,7.934537
-0.0325,3,7.93964
-0.5175,50,8.008008
-0.0825,8,8.016531
0.995,1,8.023173
0.9275,7,8.034237
-0.195,17,8.059371
0.99,1,8.059371
-0.27,24,8.090521
0.9525,4,8.097083
0.98,2,8.100258
-0.06,6,8.108133
0.8775,11,8.124637
0.9725,2,8.12878
-0.045,4,8.134822
-0.4375,46,8.199158
0.9875,1,8.201188
0.875,12,8.214885
-0.0225,2,8.214885
-0.0575,5,8.21761
0.9975,1,8.222154
0.7125,28,8.258543
0.85,17,8.274296
0.945,3,8.274296
-0.01,1,8.281717
0.8725,12,8.292345
0.9125,7,8.304662
0.765,21,8.332695
0.905,10,8.34228
0.985,1,8.344295
0.645,34,8.387072
0.9125,9,8.394629
0.955,4,8.399198
0.99,1,8.399198
0.8925,11,8.408862
0.9575,3,8.414378
0.8225,14,8.430573
0.97,2,8.43485
-0.05,5,8.445238
-0.0025,2,8.449233
0.91,11,8.46459
-0.04,3,8.468616
0.9325,7,8.479469
0.0,1,8.48193
-0.125,11,8.506529
-0.1,10,8.524351
-0.31,30,8.584892
-0.0625,6,8.600421
0.9025,12,8.61913
-0.015,2,8.625331
0.9875,1,8.627404
0.9975,1,8.632161
-0.0175,2,8.638553
0.875,8,8.652243
0.9025,8,8.660165
-0.125,11,8.676941
0.8875,12,8.685113
-0.0775,9,8.704627
-0.02,2,8.706844
0.9625,5,8.714277
-0.02,1,8.715296
0.9675,3,8.718718
0.7825,22,8.748901
0.8,19,8.767989
-0.1575,15,8.784662
0.69,29,8.809353
0.98,2,8.81788
0.9175,6,8.822302
-0.0125,1,8.824337
-0.0825,7,8.830821
0.93,7,8.837337
0.955,3,8.842373
-0.15,14,8.854704
0.9825,1,8.854704
0.9575,5,8.864592
0.735,26,8.892066
0.705,31,8.924529
0.9825,1,8.924529
-0.2625,27,8.952504
0.9675,6,8.956606
-0.035,3,8.964386
-0.0125,1,8.964386
-0.105,11,8.983151
0.9375,6,8.994415
0.91,8,9.004722
-0.3475,33,9.042368
0.955,4,9.046411
0.9475,5,9.052378
0.865,15,9.064255
0.9925,1,9.064255
0.99,1,9.064255
0.685,31,9.0979
-0.14,13,9.117229
0.99,1,9.117229
0.945,4,9.122263
0.6025,40,9.156077
0.905,9,9.165288
-0.005,1,9.165288
0.985,1,9.167103
0.7875,25,9.184541
0.9925,1,9.192596
0.93,9,9.201391
0.8675,17,9.22053
0.84,13,9.235724
-0.055,5,9.235724
-0.06,7,9.246375
0.91,12,9.267342
0.9925,1,9.269814
0.7825,24,9.304281
0.955,6,9.315363
-0.06,5,9.32262
-0.255,26,9.356894
0.9725,3,9.360525
0.965,5,9.367637
0.99,1,9.368638
-0.3225,33,9.404898
0.9325,8,9.41514
-0.1225,11,9.426019
0.9575,4,9.429205
0.9,10,9.44453
0.885,12,9.459676
-0.21,23,9.484522
-0.0775,6,9.490545
0.8875,13,12.461257
0.9675,4,12.464386
0.975,3,12.467261
0.8775,13,12.482324
0.82,17,12.504459
0.9475,4,12.512296
-0.015,3,12.514344
0.985,1,12.519766
0.95,5,12.524322
0.9525,5,12.529513
-0.0275,4,12.532445
0.975,2,12.534565
-0.1325,11,12.549074
0.76,23,12.580651
0.805,22,12.604628
0.905,10,12.614707
0.97,4,12.620767
0.845,15,12.637468
0.855,12,12.65579
0.5425,43,12.694378
0.9925,1,12.694378
0.0,1,12.694378
0.82,19,12.715163
0.9775,2,12.717304
-0.0775,8,12.724524
-0.19,19,12.740343
-0.155,15,12.752487
0.96,3,12.754553
0.815,21,12.772017
0.4825,50,12.816479
0.95,6,12.826789
0.965,4,12.831126
0.7825,24,12.854297
0.89,9,12.862151
0.635,34,12.889753
0.66,31,12.918453
0.7725,24,12.9407
0.965,3,12.944227
0.765,24,12.973292
0.8575,13,12.998272
0.9825,5,13.004932
-0.2025,18,13.030189
-0.02,1,13.035609
0.8975,12,13.049103
0.9475,5,13.057237
-0.055,8,13.07233
0.83,16,13.095891
0.805,24,13.134461
0.985,2,13.139396
0.9425,6,13.144443
0.9,11,13.156123
-0.01,2,13.157363
0.8825,13,13.172104
0.935,6,13.176647
-0.3325,36,13.211226
-0.0075,1,13.213821
0.9125,9,13.215584
0.9925,1,13.215584
0.865,13,13.232177
0.915,9,13.23935
0.9075,10,13.248949
0.9,9,13.254552
0.9675,3,13.25889
0.8925,10,13.269691
0.7875,22,13.284548
0.975,2,13.284548
0.0,1,13.289397
0.985,2,13.289397
0.94,5,13.294689
-0.125,12,13.304905
0.7725,24,13.324496
0.9425,6,13.331717
0.99,1,13.331717
-0.035,5,13.334285
0.94,5,13.339644
0.96,5,13.342219
0.9025,9,13.352633
0.96,5,13.354697
-0.1225,11,13.367086
0.9475,6,13.372112
0.785,16,13.385469
0.8025,18,13.39908
0.85,12,13.404753
-0.12,11,13.404753
0.955,5,13.420303
-0.1025,13,13.430785
-0.0225,3,13.432302
0.9125,11,13.441492
0.945,8,13.449293
0.8825,10,13.457038
0.8875,14,13.471618
-0.1275,14,13.482069
0.4525,56,13.530529
0.96,5,13.534553
-0.1225,13,13.545567
0.985,2,13.549138
0.9325,5,13.55758
0.9775,4,13.560588
0.9275,10,13.573171
0.94,6,13.582801
0.9,11,13.594343
-0.01,1,13.597799
-0.115,11,13.609963
0.9925,1,13.614209
0.8,16,13.6443
-0.4175,41,13.707731
-0.1475,15,13.727988
0.9,11,13.73458
-0.235,21,13.75998
0.8825,10,13.774315
0.0,1,13.774315
-0.04,4,13.783204
0.81,19,13.804552
0.7925,19,13.835337
0.0,2,13.83895
