#{"t_start": 1780697055.7352798, "env_id": "None"}
r,l,t
0.88,15,3.304135
1.0,1,3.304135
0.9875,2,3.312671
-0.01,4,3.318435
0.92,8,3.332502
0.9475,7,3.340067
0.89,12,3.360989
-0.02,2,3.380744
-0.05,5,3.394335
-0.055,6,3.418991
-0.0125,3,3.420179
-0.08,6,3.449096
0.76,23,3.506778
0.79,19,3.539474
0.9425,7,3.552468
-0.1175,14,3.574374
-0.0325,3,3.579846
0.9675,3,3.58426
0.94,7,3.596081
-0.185,18,3.624064
-0.03,3,3.632128
-0.255,31,3.676605
-0.11,12,3.696099
0.76,25,3.721731
-0.0075,1,3.724243
0.9325,9,3.740297
-0.0175,1,3.741807
0.865,11,3.757923
-0.0175,2,3.760014
0.8075,16,3.779142
0.92,7,3.791257
-0.025,4,3.797838
-0.0425,5,3.806891
0.99,1,3.806891
-0.105,9,3.829248
0.705,26,3.866402
0.845,13,3.883919
-0.04,3,3.88973
-0.0875,8,3.904222
0.925,8,3.914153
0.95,6,3.927251
0.985,3,3.928249
-0.1925,16,3.952295
0.945,6,3.964047
0.99,1,3.965591
0.77,19,3.988131
-0.005,1,3.988131
0.9525,6,4.001864
0.995,1,4.004115
-0.08,6,4.011041
-0.1675,19,4.048755
0.9875,1,4.048755
0.9175,10,4.064219
0.8225,17,4.086472
0.91,9,4.097472
0.985,2,4.104015
0.9725,2,4.105528
-0.0175,3,4.112058
0.8425,18,4.14143
0.9875,1,4.14143
0.9675,2,4.145101
0.8875,11,4.155931
0.8125,19,4.185561
0.87,11,4.199785
0.98,1,4.202814
-0.18,17,4.228677
-0.0375,4,4.23811
0.76,21,4.264391
-0.0075,2,4.275709
0.9575,4,4.282109
-0.05,6,4.288367
0.8875,11,4.318671
0.98,2,4.327936
-0.04,5,4.333998
-0.2275,23,4.368516
0.76,26,4.401564
0.905,9,4.414449
-0.02,2,4.418465
0.9425,7,4.432952
0.805,16,4.454633
0.9425,7,4.467053
0.965,3,4.471073
-0.115,11,4.489554
0.9875,1,4.491149
0.9375,7,4.507757
-0.0075,1,4.507757
0.8825,12,4.530014
0.9225,7,4.56433
0.775,21,4.599851
0.9025,10,4.61438
0.985,1,4.615386
-0.2875,29,4.650617
-0.0525,4,4.656195
0.8275,16,4.677902
0.82,19,4.706967
-0.0325,3,4.713925
0.9575,6,4.722138
0.9775,2,4.728846
-0.0375,5,4.734829
0.9125,8,4.748041
0.97,5,4.754278
-0.0325,3,4.758321
0.92,7,4.766351
0.725,26,4.799789
-0.015,2,4.805305
0.8825,10,4.813912
0.0,1,4.81597
0.62,37,4.866333
0.9925,1,4.871876
-0.0325,2,4.874653
0.9325,8,4.884353
-0.045,4,4.890185
0.975,3,4.901948
-0.145,11,4.918178
0.895,12,4.936527
-0.1175,9,4.950446
-0.0275,2,4.956649
0.965,5,4.963218
-0.015,1,4.963218
0.9525,3,4.970739
0.77,22,5.009
0.795,19,5.045344
-0.14,15,5.069339
0.845,19,5.095572
0.0,1,5.097585
0.96,7,5.112205
0.98,2,5.113215
-0.0275,3,5.120939
0.98,2,5.123202
-0.005,1,5.129546
-0.0525,7,5.139337
0.9275,7,5.153929
0.9725,3,5.166049
0.795,22,5.196603
0.75,21,5.229371
0.9675,4,5.239118
0.6475,31,5.296454
0.9925,1,5.299451
-0.1875,19,5.314233
0.8475,14,5.341161
-0.0425,3,5.349722
-0.0075,1,5.350467
0.8225,18,5.377702
0.93,8,5.388139
0.605,39,5.455361
0.9125,8,5.467721
-0.075,11,5.482297
0.99,1,5.482806
0.9975,1,5.484365
-0.1925,18,5.517368
-0.085,12,5.536641
0.925,7,5.548176
-0.045,5,5.554006
0.995,1,5.555017
0.9675,4,5.560896
-0.375,34,5.615561
0.9525,5,5.620259
0.945,6,5.626246
0.96,4,5.632772
0.98,1,5.640755
0.65,37,5.697161
0.83,17,5.720608
0.83,13,5.733909
-0.04,5,5.742073
0.9225,7,5.74925
0.8725,12,5.768783
0.995,1,5.774803
0.8775,13,5.789982
0.835,17,5.81459
0.805,20,5.846976
0.7375,25,5.879128
0.955,4,5.885676
0.6975,29,5.937178
0.95,5,5.943176
0.875,11,5.958567
0.975,4,5.965635
0.945,5,5.972193
0.9575,4,5.978875
0.97,4,5.985396
-0.015,1,5.9864
0.9775,5,5.994257
-0.1025,15,6.019871
0.9225,9,6.034016
0.7475,23,6.064335
0.975,3,6.069715
0.8675,13,6.086957
0.8375,19,6.115651
0.985,2,6.11665
0.9025,11,6.134086
0.9625,5,6.14087
-0.0475,4,6.147478
0.99,2,6.150328
-0.12,11,6.170228
0.7475,23,6.354231
0.7675,22,6.41415
0.8775,10,6.421869
0.9625,4,6.432125
0.8325,15,6.472784
0.875,12,6.496844
-0.3325,41,6.542074
0.99,1,6.548203
0.995,1,6.548203
0.975,2,6.548203
0.8575,18,6.57856
0.99,2,6.579556
-0.075,8,6.589048
-0.135,19,6.619345
-0.15,15,6.640778
0.9725,3,6.647166
0.7775,21,6.678944
0.655,33,6.729578
-0.225,23,6.761413
0.97,4,6.765958
0.775,21,6.793043
-0.025,2,6.799484
-0.0975,9,6.813943
-0.0275,5,6.819716
-0.1675,18,6.851913
0.9225,9,6.866362
-0.2275,24,6.896294
0.7975,20,6.933915
0.99,1,6.93422
0.945,8,6.945407
0.975,3,6.950415
-0.2,22,6.981848
1.0,1,6.985744
0.7975,19,7.007551
0.9225,8,7.02037
-0.11,9,7.040284
-0.005,1,7.040284
0.89,13,7.064422
0.94,4,7.069433
0.96,4,7.074468
0.9725,3,7.074468
0.855,16,7.103944
-0.0275,4,7.111482
-0.1375,13,7.138157
-0.1375,15,7.168326
0.8925,11,7.18439
0.9525,4,7.18938
-0.0825,8,7.201564
0.7175,31,7.251451
-0.045,7,7.259271
0.925,8,7.269544
0.9075,9,7.286362
0.9925,1,7.298309
0.8625,13,7.319578
0.88,9,7.335964
0.8975,10,7.367806
0.905,9,7.382266
0.625,37,7.445725
0.985,2,7.451372
0.9775,2,7.454103
-0.1925,17,7.482549
0.9875,2,7.488533
-0.2725,24,7.532141
0.9525,6,7.541956
0.985,1,7.546957
0.885,11,7.565917
0.87,15,7.593016
0.9525,5,7.601171
-0.1175,11,7.620328
0.9475,6,7.646624
0.8675,11,7.664343
0.97,2,7.669227
0.9875,1,7.669227
0.855,18,7.712815
0.8625,12,7.727885
0.88,11,7.750198
0.9575,5,7.769083
0.7475,29,7.811781
-0.0725,8,7.826321
0.9,10,7.846235
-0.035,4,7.852906
0.79,24,7.914112
0.7875,23,7.948598
-0.3125,33,8.017468
0.79,24,8.050838
0.9775,2,8.057387
0.95,4,8.06439
0.94,10,8.085165
0.9175,9,8.111771
0.935,8,8.127396
-0.0025,1,8.128727
-0.1025,11,8.150673
0.985,1,8.152185
0.82,16,8.20895
0.6575,31,8.257426
